Spit,Thinning Flakes,Convergent flakes,Bipolar,Bifacial Points,Axe Flake/Frag,Scrapers,Ground Ochre,Grindstone Fragments,,,
49,0,0,0,,,0,,,,,
48,0,0,0,,,0,,,,,
47,0,0,0,,,0,,,,,
46,0,0,0,,,0,,,,,
45,0,0,0,,,0,,,,,
44,0,0,0,,,0,,,,,
42,4,1,0,,,1,,,,,
62 Pit,1,4,0,,,2,,1,,,
41 / 43,10,0,0,,,4,1,,,,
40,11,4,0,,,4,1,,,,
39,0,0,0,,1,1,,,,,
38,21,2,3,,,5,6,,,,
37,12,1,0,,1,2,7,,,,
36,0,0,0,,,0,2,,,,
35,0,0,0,,,0,6,,,,
34,0,0,1,,,1,2,,,,
33,0,0,0,,,0,1,,,,
32,0,0,4,,,4,,,,,
31,0,0,4,,,4,,,,,
30,0,0,6,,,6,1,,,,
29,0,0,0,,,0,2,,,,
28,0,0,5,,,5,1,,,,
27,0,0,1,,1,2,,,,,
26,0,0,2,,1,3,2,,,,
25,0,0,1,,,1,,1,,,
24,0,0,1,,1,2,11,,,,
23,0,0,0,,,0,4,,,,
22,0,0,0,,1,1,2,,,,
21,0,0,0,,1,1,4,,,,
20,0,0,1,,,1,,,,,
19,0,0,2,,,2,,,,,
18,0,0,2,,,2,,,,,
17,0,0,0,,,0,,,,,
16,0,0,0,,1,1,,,,,
15,0,0,0,,,0,,,,,
14,0,0,8,,1,9,1,1,,,
13,0,0,9,,,9,1,,,,
12,0,0,6,,,6,,1,,,
11,0,0,3,,,3,,,,,
10,0,0,4,,,4,,,,,
9,0,0,1,,,1,,,,,
8,1,0,3,,,3,2,,,,
7,0,0,1,,,1,4,1,,,
6,5,0,3,,4,7,9,,,,
5,3,0,0,2,,2,9,3,,,
4,4,0,0,,,0,7,4,,,
3,1,0,0,,,0,1,,,,
2,1,0,4,,,4,5,,,,
1,2,0,3,,,3,1,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
